Day,Question,Option A,Option B,Option C,Option D,Correct Answer,Rationale
4,"What is the purpose of the 'name' attribute on an <input> tag?","It is an identifier for CSS styling.","It provides a name for the data when it is sent to the server.","It's a replacement for the 'id' attribute.","It specifies the input's visible label.","B","When a form is submitted, the data is sent as name/value pairs."
4,"Which element is used to group related elements in a form, often drawing a box around them?","<group>","<fieldset>","<section>","<collection>","B","<fieldset> helps to organize long forms into logical sections."
4,"What is the purpose of the <legend> tag?","It defines the main title of the webpage.","It provides a caption or title for a <fieldset>.","It creates the submit button.","It's an alternative to <label>.","B","A <legend> should be the first child of the <fieldset> it describes."
4,"Which input 'type' is specifically designed for entering email addresses?","type=""text""","type=""email""","type=""email-address""","type=""user""","B","type=""email"" provides automatic validation in supporting browsers to check for an '@' symbol."
4,"How do you create a multi-line text input for comments or messages?","<input type=""textarea"">","<input type=""multiline"">","<textarea></textarea>","<textfield rows=""5""></textfield>","C","The <textarea> tag provides a large, resizable text box."
4,"What is the purpose of the 'action' attribute on a <form> tag?","It specifies where to send the form data when the form is submitted.","It defines the animation to play on submit.","It specifies which script to run on the client-side.","It defines the form's id.","A","The 'action' attribute usually contains a URL to a server-side script."
4,"Which input 'type' is best for entering a password?","type=""text""","type=""hidden""","type=""secure""","type=""password""","D","type=""password"" masks the input, showing dots or asterisks instead of the actual characters."
4,"What is the 'value' attribute used for on an <input> tag?","To provide a hint like placeholder.","To set the initial/default value of the field.","To specify the CSS class.","To set the field's name.","B","For a submit button, it defines the text on the button. For a text field, it's the pre-filled content."
4,"To set a default choice in a dropdown list, what attribute do you use on the <option> tag?","checked","default","selected","value","C","The 'selected' attribute pre-selects an option in a <select> list."
4,"Which attribute can be used to specify a regular expression that the input's value must match?","regex","validate","pattern","format","C","The 'pattern' attribute allows for powerful custom validation on text-based inputs."
4,"What does ARIA stand for in the context of web accessibility?","Accessible Rich Internet Applications","Advanced Responsive Internet Architecture","Automated Reading Interface Aid","Associated Rich Information Access","A","ARIA provides extra attributes to make web content more accessible to people with disabilities."
4,"Which element would define one choice in a dropdown list?","<choice>","<li>","<option>","<item>","C","<option> tags are placed inside a <select> element."
4,"How do you ensure a set of radio buttons are mutually exclusive?","Give them all the same 'id'.","Give them all the same 'name' attribute.","Give them all the same 'value'.","Put them in the same <fieldset>.","B","Only one radio button with the same 'name' can be selected at a time."
4,"Which input 'type' creates a field for entering a date?","type=""date""","type=""datetime""","type=""calendar""","type=""day""","A","type=""date"" provides a date-picker interface in supporting browsers."
4,"What is client-side form validation?","Validation that happens on the server after submission.","Validation that happens in the browser before the form is submitted.","Validation done by the user.","Validation that checks the user's internet speed.","B","HTML5 attributes like 'required' and 'pattern' perform client-side validation."
4,"The <input type=""hidden""> is used for...","Hiding the form completely.","Creating a password field.","Submitting data that is not visible to the user.","A field that is temporarily disabled.","C","Hidden inputs are useful for sending tracking data or security tokens with a form."
4,"How can you pre-check a checkbox by default?","<input type=""checkbox"" selected>","<input type=""checkbox"" prechecked>","<input type=""checkbox"" checked>","<input type=""checkbox"" value=""on"">","C","The boolean 'checked' attribute will make a checkbox or radio button selected on page load."
4,"What is the purpose of the 'for' attribute on a <label>?","It specifies which form the label belongs to.","It links the label to its corresponding input element via the input's 'id'.","It provides a fallback text.","It defines the font style.","B","This improves usability, as clicking the label will focus or activate the input."
4,"Which input attribute limits the number of characters allowed in a text field?","max","limit","maxlength","size","C","For example, maxlength=""10"" would allow no more than 10 characters."
4,"Which HTTP method is typically used by forms to submit data?","GET","POST","Both GET and POST","SEND","C","GET appends data to the URL, while POST sends it in the request body. POST is used for sensitive or large data."
